<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
BTN,20190410,8.5000,8.5000,8.5000,8.5000,100
BTN,20190411,9.7000,9.7000,8.8000,8.8000,850
BTN,20190412,8.9000,8.9000,8.9000,8.9000,0
BTN,20190416,8.9000,8.9000,8.9000,8.9000,0
BTN,20190417,7.6000,7.6000,7.6000,7.6000,2700
BTN,20190418,6.5000,6.5000,6.5000,6.5000,100
BTN,20190419,7.4000,7.4000,7.4000,7.4000,100
BTN,20190422,7.4000,7.4000,7.4000,7.4000,0
BTN,20190423,7.4000,7.4000,7.4000,7.4000,0
BTN,20190424,7.4000,7.4000,7.4000,7.4000,0
BTN,20190425,8.4000,8.4000,8.4000,8.4000,100
BTN,20190426,7.5000,7.5000,7.2000,7.2000,300
BTN,20190502,7.3000,7.3000,7.3000,7.3000,0
BTN,20190503,8.3000,8.3000,8.3000,8.3000,100
BTN,20190506,8.3000,8.3000,8.3000,8.3000,0
BTN,20190507,8.3000,8.3000,8.3000,8.3000,0
BTN,20190508,8.3000,8.3000,8.3000,8.3000,0
BTN,20190509,8.3000,8.3000,8.3000,8.3000,0
BTN,20190510,8.3000,8.3000,8.3000,8.3000,0
BTN,20190513,8.3000,8.3000,8.3000,8.3000,0
BTN,20190514,8.3000,8.3000,8.3000,8.3000,0
BTN,20190515,8.3000,8.3000,8.3000,8.3000,0
BTN,20190516,8.3000,8.3000,8.3000,8.3000,0
BTN,20190517,8.3000,8.3000,8.3000,8.3000,0
BTN,20190520,8.3000,8.3000,8.3000,8.3000,0
BTN,20190521,8.3000,8.3000,8.3000,8.3000,0
BTN,20190522,7.1000,7.1000,7.1000,7.1000,300
BTN,20190523,6.1000,6.1000,6.1000,6.1000,300
BTN,20190524,5.4000,5.4000,5.3000,5.3000,300
BTN,20190527,6.2000,6.2000,6.2000,6.2000,100
BTN,20190528,6.2000,6.2000,6.2000,6.2000,0
BTN,20190529,5.5000,5.5000,5.3000,5.3000,600
BTN,20190530,5.4000,5.4000,5.4000,5.4000,0
BTN,20190531,4.7000,4.7000,4.7000,4.7000,100
BTN,20190603,4.7000,4.7000,4.7000,4.7000,0
BTN,20190604,4.7000,4.7000,4.7000,4.7000,0
BTN,20190605,4.7000,4.7000,4.7000,4.7000,0
BTN,20190606,4.7000,4.7000,4.7000,4.7000,0
BTN,20190607,4.7000,4.7000,4.7000,4.7000,0
BTN,20190610,4.7000,4.7000,4.7000,4.7000,0
BTN,20190611,4.7000,4.7000,4.7000,4.7000,0
BTN,20190612,4.7000,4.7000,4.7000,4.7000,0
BTN,20190613,4.7000,4.7000,4.7000,4.7000,0
BTN,20190614,4.7000,4.7000,4.7000,4.7000,0
BTN,20190617,4.0000,4.0000,4.0000,4.0000,100
BTN,20190618,4.6000,4.6000,4.6000,4.6000,100
BTN,20190619,4.6000,4.6000,4.6000,4.6000,0
BTN,20190620,4.6000,4.6000,4.6000,4.6000,0
BTN,20190621,4.6000,4.6000,4.6000,4.6000,0
BTN,20190624,4.6000,4.6000,4.6000,4.6000,900
BTN,20190625,4.3000,4.3000,4.3000,4.3000,100
BTN,20190626,4.3000,4.3000,4.3000,4.3000,0
BTN,20190627,4.3000,4.3000,4.3000,4.3000,0
BTN,20190628,3.7000,3.7000,3.7000,3.7000,300
BTN,20190701,4.2000,4.2000,4.2000,4.2000,100
BTN,20190702,4.8000,4.8000,4.8000,4.8000,100
BTN,20190703,4.3000,4.3000,4.3000,4.3000,100
BTN,20190704,4.9000,4.9000,4.9000,4.9000,100
BTN,20190705,5.5000,5.5000,5.5000,5.5000,100
BTN,20190708,6.2000,6.2000,6.2000,6.2000,100
BTN,20190709,6.9000,6.9000,6.9000,6.9000,100
BTN,20190710,7.7000,7.7000,5.9000,5.9000,300
BTN,20190711,7.3000,7.3000,5.6000,7.1000,400
BTN,20190712,6.5000,6.5000,6.5000,6.5000,0
BTN,20190715,6.9000,6.9000,6.9000,6.9000,100
BTN,20190716,6.9000,6.9000,6.9000,6.9000,0
BTN,20190717,6.9000,6.9000,6.9000,6.9000,0
BTN,20190718,6.9000,6.9000,6.9000,6.9000,0
BTN,20190719,7.5000,7.5000,7.5000,7.5000,100
BTN,20190722,7.5000,7.5000,7.5000,7.5000,0
BTN,20190723,7.5000,7.5000,7.5000,7.5000,0
BTN,20190724,6.4000,6.4000,6.4000,6.4000,400
BTN,20190725,6.4000,6.4000,6.4000,6.4000,0
BTN,20190726,6.9000,6.9000,6.9000,6.9000,100
BTN,20190729,7.4000,7.4000,5.9000,7.4000,300
BTN,20190730,7.2000,7.2000,7.2000,7.2000,100
BTN,20190731,7.2000,7.2000,7.2000,7.2000,0
BTN,20190801,7.2000,7.2000,7.2000,7.2000,0
BTN,20190802,7.2000,7.2000,7.2000,7.2000,0
BTN,20190805,7.2000,7.2000,7.2000,7.2000,0
BTN,20190806,7.2000,7.2000,7.2000,7.2000,0
BTN,20190807,7.2000,7.2000,7.2000,7.2000,0
BTN,20190808,7.2000,7.2000,7.2000,7.2000,0
BTN,20190809,7.2000,7.2000,7.2000,7.2000,0
BTN,20190812,7.2000,7.2000,7.2000,7.2000,0
BTN,20190813,7.2000,7.2000,7.2000,7.2000,0
BTN,20190814,7.2000,7.2000,7.2000,7.2000,0
BTN,20190815,7.2000,7.2000,7.2000,7.2000,0
BTN,20190816,7.2000,7.2000,7.2000,7.2000,0
