<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
VND,2018-12-06,11.3613,11.4476,11.1888,11.2751,1532370
VND,2018-12-07,11.2751,11.4476,11.2751,11.3901,1263540
VND,2018-12-10,11.3901,11.3901,11.2175,11.2175,374220
VND,2018-12-11,11.2175,11.3326,11.045,11.16,437030
VND,2018-12-12,11.16,11.3326,11.16,11.3326,324790
VND,2018-12-13,11.3326,11.4764,11.3326,11.3326,456690
VND,2018-12-14,11.3326,11.3326,11.0737,11.0737,322260
VND,2018-12-17,11.0737,11.0737,10.3546,10.3546,1064380
VND,2018-12-18,10.3546,10.3546,10.0383,10.1533,982350
VND,2018-12-19,10.1533,10.2971,10.0958,10.1821,223520
VND,2018-12-20,10.1821,10.2971,10.067,10.2971,226530
VND,2018-12-21,10.2971,10.2971,10.067,10.2971,153190
VND,2018-12-24,10.2971,10.3546,10.0095,10.0383,202530
VND,2018-12-25,10.0383,10.0383,9.3767,9.6356,973370
VND,2018-12-26,9.6356,9.7794,9.3767,9.3767,356840
VND,2018-12-27,9.3767,9.7219,9.3767,9.4055,577380
VND,2018-12-28,9.4055,9.5493,9.2041,9.4342,938550
VND,2019-01-02,9.4342,9.578,9.3479,9.4918,363610
VND,2019-01-03,9.4918,9.4918,9.2904,9.3479,586900
VND,2019-01-04,9.3479,9.4342,9.1466,9.3767,695280
VND,2019-01-07,9.3767,9.6643,9.3767,9.578,649320
VND,2019-01-08,9.578,9.7219,9.578,9.6643,308990
VND,2019-01-09,9.6643,9.6931,9.4055,9.4342,767570
VND,2019-01-10,9.4342,9.4342,9.2329,9.2329,943560
VND,2019-01-11,9.2329,9.5205,9.2329,9.4342,225490
VND,2019-01-14,9.4342,9.5493,9.1178,9.2041,535420
VND,2019-01-15,9.2041,9.2617,9.1178,9.1754,613510
VND,2019-01-16,9.1754,9.3192,9.0603,9.0603,546030
VND,2019-01-17,9.0603,9.1466,8.974,8.974,288750
VND,2019-01-18,8.974,9.0891,8.974,8.974,275560
VND,2019-01-21,8.974,9.3767,8.6576,9.2904,1769210
VND,2019-01-22,9.2904,9.4342,9.1178,9.2904,643460
VND,2019-01-23,9.2904,9.3192,9.0891,9.2617,467700
VND,2019-01-24,9.2617,9.3192,9.1754,9.2329,513450
VND,2019-01-25,9.2329,9.4055,9.1466,9.3192,763250
VND,2019-01-28,9.3192,9.4342,9.2617,9.2617,323810
VND,2019-01-29,9.2617,9.3192,9.1466,9.3192,337170
VND,2019-01-30,9.3192,9.3767,9.2617,9.2617,336200
VND,2019-01-31,9.2617,9.3479,9.2329,9.2617,465140
VND,2019-02-01,9.2617,9.2617,9.2041,9.2041,298420
VND,2019-02-11,9.2041,9.6643,9.2041,9.6643,832890
VND,2019-02-12,9.6643,10.0383,9.6356,9.8944,1553340
VND,2019-02-13,9.8944,10.0095,9.7794,9.9232,920690
VND,2019-02-14,9.9232,10.0383,9.7506,9.9232,802750
VND,2019-02-15,9.9232,9.9232,9.8082,9.8082,589350
VND,2019-02-18,9.8082,9.952,9.8082,9.8944,634440
VND,2019-02-19,9.8944,10.1821,9.8369,9.8944,1927520
VND,2019-02-20,9.8944,10.0958,9.8944,9.9807,592450
VND,2019-02-21,9.9807,10.067,9.8944,10.0095,678360
VND,2019-02-22,10.0095,10.1245,9.8657,10.0095,998160
VND,2019-02-25,10.0095,10.4697,10.0095,10.2971,1715470
VND,2019-02-26,10.2971,10.4985,10.1821,10.2684,1635450
VND,2019-02-27,10.2684,10.3834,10.067,10.1245,657250
VND,2019-02-28,10.1245,10.1821,9.7794,10.0383,1328960
VND,2019-03-01,10.0383,10.067,9.8944,10.067,681680
VND,2019-03-04,10.067,10.3834,10.067,10.2396,907220
VND,2019-03-05,10.2396,10.3546,10.1245,10.1245,1191900
VND,2019-03-06,10.1245,10.2396,10.0958,10.1821,794130
VND,2019-03-07,10.1821,10.4985,10.1821,10.4409,2374120
VND,2019-03-08,10.4409,10.4409,10.0958,10.2108,812850
VND,2019-03-11,10.2108,10.2396,10.067,10.2108,415960
VND,2019-03-12,10.2108,10.3546,9.9807,10.1821,1672920
VND,2019-03-13,10.1821,10.6135,10.1821,10.5847,2584340
VND,2019-03-14,10.5847,10.6423,10.4985,10.4985,656680
VND,2019-03-15,10.4985,10.4985,10.2971,10.3259,810620
VND,2019-03-18,10.3259,10.4122,10.2684,10.3834,756030
VND,2019-03-19,10.3834,10.4697,9.952,9.952,1661800
VND,2019-03-20,9.952,9.9807,9.7506,9.9807,1586050
VND,2019-03-21,9.9807,10.0095,9.4918,9.4918,963830
VND,2019-03-22,9.4918,9.6931,9.4918,9.6068,833020
VND,2019-03-25,9.6068,9.6068,9.2329,9.5205,1534230
VND,2019-03-26,9.5205,9.6643,9.4342,9.6068,627350
VND,2019-03-27,9.6068,9.7219,9.4342,9.6931,429020
VND,2019-03-28,9.6931,9.7219,9.5493,9.7219,399410
VND,2019-03-29,9.7219,9.7506,9.6356,9.6643,719420
VND,2019-04-01,9.6643,9.7506,9.6356,9.6356,391250
VND,2019-04-02,9.6356,9.7794,9.6068,9.6643,452140
VND,2019-04-03,9.6643,9.6931,9.5205,9.6643,271200
VND,2019-04-04,9.6643,9.7219,9.6068,9.6931,484680
VND,2019-04-05,9.6931,9.7219,9.6356,9.6643,294380
VND,2019-04-08,9.6643,9.7506,9.6356,9.6931,354310
VND,2019-04-09,9.6931,10.0383,9.6931,9.7794,1530390
VND,2019-04-10,9.7794,9.8369,9.6643,9.6643,357600
VND,2019-04-11,9.6643,9.7506,9.6068,9.6643,302710
VND,2019-04-12,9.6643,9.6643,9.463,9.6356,558250
VND,2019-04-16,9.6356,9.6356,9.2041,9.3767,563530
VND,2019-04-17,9.3767,9.4918,9.2617,9.2617,433710
VND,2019-04-18,9.2617,9.2617,9.0603,9.2617,736290
VND,2019-04-19,9.2617,9.3192,9.1754,9.1754,276670
VND,2019-04-22,9.1754,9.1754,8.8877,8.9165,896150
VND,2019-04-23,8.9165,9.0891,8.859,9.0891,427760
VND,2019-04-24,9.0891,9.1754,9.0603,9.1466,239950
VND,2019-04-25,9.1466,9.2041,9.0316,9.1754,318070
VND,2019-04-26,9.1754,9.2041,9.0603,9.1754,306440
VND,2019-05-02,9.1754,9.1754,8.9165,9.0316,445870
VND,2019-05-03,9.0316,9.0891,8.974,9.0028,100700
VND,2019-05-06,9.0028,9.0316,8.8014,9.0028,610820
VND,2019-05-07,9.0028,9.0891,8.8877,9.0891,512410
VND,2019-05-08,9.0891,9.1178,8.974,9.1178,730380
